name,color
v1,#cf0057
v2,#e60044
v3,#e8382f
v4,#ea5504
v5,#ef7c00
v6,#f5a200
v7,#fbc200
v8,#ffe100
v9,#e5de00
v10,#c4d700
v11,#7ebf46
v12,#00a161
v13,#009c7c
v14,#00908e
v15,#0088a7
v16,#007cb2
v17,#0072b5
v18,#005bac
v19,#1d50a2
v20,#4d4398
v21,#683b93
v22,#7e318e
v23,#9d247c
v24,#b70868
b2,#ec6d65
b4,#ef8454
b6,#f6ad48
b8,#ffec3f
b10,#aacf52
b12,#7ac283
b14,#00b1a9
b16,#009bc0
b18,#0086c9
b20,#6a71b4
b22,#9c5ea3
b24,#dd6691
s2,#d9374b
s4,#ea5532
s6,#f5a33b
s8,#eec700
s10,#a0c101
s12,#009c6b
s14,#00908c
s16,#006fa0
s18,#0062a2
s20,#4d569e
s22,#772c85
s24,#b83570
dp2,#ad1731
dp4,#b5441f
dp6,#ba7519
dp8,#bd9c00
dp10,#789300
dp12,#007d36
dp14,#007260
dp16,#006083
dp18,#004385
dp20,#261e6f
dp22,#5b0060
dp24,#941e57
lt2+,#f29b92
lt4+,#f5b08c
lt6+,#fac983
lt8+,#ffee7d
lt10+,#d2e288
lt12+,#abd6a7
lt14+,#69c3b8
lt16+,#44b3d1
lt18+,#6aa3d4
lt20+,#9198cb
lt22+,#be8ebe
lt24+,#e596ac
sf2,#e18889
sf4,#e49472
sf6,#efa951
sf8,#e0c959
sf10,#b1c965
sf12,#72ba90
sf14,#48b0a0
sf16,#3d97b3
sf18,#4d7dae
sf20,#7379ab
sf22,#a579ac
sf24,#cb8c9c
d2,#bf5c58
d4,#c86a59
d6,#cc8649
d8,#c1ae3f
d10,#96a654
d12,#61926c
d14,#00837a
d16,#006c89
d18,#265981
d20,#535985
d22,#7f3e7d
d24,#af537b
dk2,#690002
dk4,#703125
dk6,#814200
dk8,#7e6b00
dk10,#5a6000
dk12,#015139
dk14,#004844
dk16,#004852
dk18,#002c5a
dk20,#1d0f52
dk22,#3c2b5b
dk24,#4f274c
p2+,#fad5cf
p4+,#fbdbc7
p6+,#fde7c1
p8+,#fff5bd
p10+,#eff3ca
p12+,#d6ead4
p14+,#bde1db
p16+,#b6e0ed
p18+,#b9cfe6
p20+,#c2c8e6
p22+,#dacae1
p24+,#f1ccd9
ltg2,#d8b9b9
ltg4,#d7bfb3
ltg6,#dfc6b2
ltg8,#d5c8a0
ltg10,#ccd1a8
ltg12,#aec3b1
ltg14,#90c1c0
ltg16,#80b4c4
ltg18,#9fafc1
ltg20,#9ea9bf
ltg22,#bab4c0
ltg24,#ceb0b4
g2,#915b61
g4,#a36e69
g6,#a68366
g8,#988b59
g10,#898c6a
g12,#67806a
g14,#5e796e
g16,#5b7276
g18,#53657a
g20,#594f73
g22,#6c516a
g24,#826271
dkg2,#470000
dkg4,#480000
dkg6,#4a2400
dkg8,#4c3e00
dkg10,#2c3c00
dkg12,#002f10
dkg14,#002525
dkg16,#001a32
dkg18,#000532
dkg20,#00002c
dkg22,#0e002a
dkg24,#3a0024
W,#ffffff
Gy-9.0,#f9f9f9
Gy-8.5,#f2f2f3
Gy-8.0,#e6e6e6
Gy-7.5,#c9caca
Gy-7.0,#b5b5b6
Gy-6.5,#9fa0a0
Gy-6.0,#949495
Gy-5.5,#898989
Gy-5.0,#7d7d7d
Gy-4.5,#666464
Gy-4.0,#595757
Gy-3.5,#4c4948
Gy-3.0,#3e3a39
Gy-2.5,#2c2625
Gy-2.0,#201716
Bk,#161519
